373,"['I', ""can't"", 'believ', '@stephenfhay', 'work', 'book', 'tie', 'iraq', '9/11', 'would', 'exagger', 'document', 'fbi', '…']"
385,"['titan', 'conspiraci', 'the', '1st', 'stage', '9/11', 'jesuit', 'plan', 'control', 'world', 'bank', 'system', '#ltd', '…']"
388,"['billi', 'bush', 'made', '9/11', '#billybushmademedoit']"
390,"['alex', 'jone', 'respond', 'To', 'clinton', 'video', 'ty', 'him', 'To', 'trump', 'there', 'were', 'bomb', '”', 'In', 'the', 'world', 'trade', 'center', 'On', '9/11']"
398,"['billi', 'bush', 'made', '9/11', '#billybushmademedoit']"
399,"['alex', 'jone', 'respond', 'To', 'clinton', 'video', 'ty', 'him', 'To', 'trump', 'there', 'were', 'bomb', '”', 'In', 'the', 'world', 'trade', 'center', 'On', '9/11']"
400,"['#billybushmadem', 'profit', '9/11', 'thousand', 'die']"
424,"['Oh', 'look', ""here'"", 'potu', 'guy', 'bomb', 'twin', 'tower', 'and', 'truli', '#hillaryclinton', 'how', 'work', 'He', '…']"
440,"['the', 'twin', 'tower', 'blow', ""might'v"", 'actual', 'scheme', 'US', 'gorvern', 'explain', 'conspiraci', 'theori', '30', 'minut', 'drive']"
460,"['alex', 'jone', 'respond', 'To', 'clinton', 'video', 'ty', 'him', 'To', 'trump', 'there', 'were', 'bomb', '”', 'In', 'the', 'world', 'trade', 'center', 'On', '9/11']"
462,"['okay', 'septemb', '11th', '2001', 'I', 'live', 'armi', 'base', '9/11', 'civilian', 'actual', 'allow', 'bare', 'post', 'open']"
482,"['Go', 'research', 'build', '7', 'world', 'trade', 'center', 'eye', 'open', 'lie', ""we'r"", 'told', 'everyday']"
543,"['@mark_maen', 'I', 'assur', 'fellow', 'citizen', 'I', 'involv', 'septemb', '11th', 'attack']"
547,"['presidenti', 'hillari', 'clinton', 'sick', '9/11', 'hillari', 'collaps', 'septemb', '11th', '2016']"
554,"['they', 'fund', 'attack', 'world', 'trade', 'center', 'arm', 'sadist', 'barbarian', 'histori', 'hillari', 'bi', '…']"
585,"['haunt', 'world', 'trade', 'center', '#theparanormalsocieti', '#media', '#ghost', '#haunt', '#911']"
647,"['hillari', 'suffer', 'email', 'scandal', 'call', 'voter', 'deplor', 'huge', 'trust', 'problem', 'collaps', '9/11', 'clinton', 'and', 'may', 'win']"
655,"['attack', 'iraq', 'divers', 'failur', 'detect', '9/11', 'embry-riddl', 'juli', '2001', 'billi', 'pilgrim', 'iwastherecrawford', 'juli', '2001']"
657,"[""hillary'"", '1', 'aid', 'huma', 'abedin', 'undeni', 'tie', 'terrorist', '9/11', 'funder', 'watch', 'vote']"
659,"['report', 'donald', 'trump', 'may', 'lie', 'give', 'money', '9/11', 'chariti', 'via', '@salon']"
663,"['mountain', 'sky', 'scraper', 'hous', 'burj', 'khalifa', 'twin', 'tower', 'aso', 'rock', 'taj', 'mahal', 'everythn', 'begin', 'shake', 'ppl', 'b', 'g', '…']"
667,"['appar', 'accord', 'dxzoy', 'eljayjr', 'religion', 'blow', 'twin', 'tower', 'shut', 'fuck', 'littl', 'fat', 'cunt', '@dxzoy']"
675,"['@bigstick2013', 'someon', 'told', 'logo', 'repres', '911', 'twin', 'tower', 'arrow', 'plane', 'crash', 'tower', 'mean', 'danger', 'ahead']"
677,"['famili', 'guy', 'creator', 'seth', 'macfarlan', 'king', 'pop', 'michael', 'jackson', 'suppos', 'one', 'twin', 'tower', 'septemb', '11', '2001']"
678,"['@bernardwhitman', '@lisamariebooth', '@marthamaccallum', '@americanewsroom', 'aka', '20th', 'hijack', 'twin', 'tower', 'illus', 'affluenc', 'attack']"
692,"['I', 'berlin', 'when', 'wall', 'came', 'downat', 'pentagon', '9/11', 'attackswith', 'militari', 'iraqnon', 'th', '…']"
693,"['hillari', 'say', 'new', 'york', 'citi', '9/11', 'she']"
722,"['A', 'european', 'scientif', 'studi', 'septemb', '11', '2001', 'twin', 'tower', 'brought', 'control', 'demolit']"
755,"['I', 'also', 'saw', 'video', 'muslim', 'cheer', 'new', 'jersey', 'septemb', '11th']"
775,"['@sandratxa', '@lifezett', '@michaelkey', '@miami4trump', '@flewbi', '@abcpolit', '@nbcnew', '2004', 'hillari', 'clinton', 'lie', '…']"
779,"['hey', '@hillaryclinton', 'septemb', '11th', 'dodg', 'sniper', 'fire']"
782,"['@kainyusanagi', '@jlpulic', 'the', 'clinton', 'even', 'abl', 'keep', 'straight', 'chelsea', '9/11']"
812,"['corpor', 'news', ""mediadon't"", 'believ', 'wordseptemb', '11', '2001', ""#hillaryclinton'govern"", '#politiciansthin', 'lizzi']"
820,"['all', 'could', 'avoid', 'launch', 'one', 'icbm', 'afghanistan', 'septemb', '12', '2001', 'ban', 'I', '…']"
829,"['#podestaemails27priv', 'hrc', 'know', 'saudi', 'arabia', 'fund', 'isi', 'fund', '9/11', 'public', 'deni', 'deni', 'deni', 'accept', 'saudi', '…']"
846,"['russia', 'today', 'declar', '9/11', 'wa', 'An', 'insid', 'job']"
889,"['rememb', 'govern', 'help', 'peopl', 'brought', 'twin', 'tower', '..', '#weirdvotingboothritu']"
894,"['If', 'establish', 'take', 'twin', 'tower', 'kill', '1000', ""they'll"", 'problem', 'kill', '#wakeup', 'wa', '…']"
951,"['russia', 'today', 'declar', '9/11', 'wa', 'An', 'insid', 'job', 'youtub']"
972,"['sooooo', 'ladi', 'predict', 'twin', 'tower', 'event', 'die', '1996', 'everyth', 'els', 'pr', '…']"
994,"['europhys', 'magazin', 'european', 'scientif', 'studi', 'twin', 'tower', 'brought', 'control', 'demolit']"
1011,"['after', 'twin', 'towersdisast', 'clinton', 'receiv', 'money', 'saudi', 'arabia', 'silenc', 'part', 'saudi', 'arabia']"
